uraian pekerjaan,section,pekerjaan,satuan,volume,harga satuan,nilai,bobot
"Papan nama proyek multiplek 9mm, 60x90 cm (finish digital printing)",I.,PEKERJAAN PERSIAPAN,bh,1,190041.369615,190041.369615,0.004
Retribusi IMB,I.,PEKERJAAN PERSIAPAN,ls,1,0.000000,0.000000,0
Pembersihan Lokasi & Pemotongan Pohon,I.,PEKERJAAN PERSIAPAN,ls,1,2000000.000000,2000000.000000,0.0419
Sewa Kantor Direksi Keet ,I.,PEKERJAAN PERSIAPAN,ls,1,12000000.000000,12000000.000000,0.2513
Sewa Gudang bahan,I.,PEKERJAAN PERSIAPAN,ls,1,5000000.000000,5000000.000000,0.1047
Sewa Barak Pekerja,I.,PEKERJAAN PERSIAPAN,ls,1,15000000.000000,15000000.000000,0.3141
Listrik (genset 5kva 2 unit)/Penyediaan listik kerja selama pekerjaan berlangsung,I.,PEKERJAAN PERSIAPAN,ls,1,4000000.000000,4000000.000000,0.0838
Air kerja (penyediaan air kerja selama pekerjaan berlangsung),I.,PEKERJAAN PERSIAPAN,ls,1,1000000.000000,1000000.000000,0.0209
Mobilisasi alat,I.,PEKERJAAN PERSIAPAN,ls,1,5000000.000000,5000000.000000,0.1047
Sewa Pompa beton Concrete Pump (slang + pompa),I.,PEKERJAAN PERSIAPAN,ls,1,7500000.000000,7500000.000000,0.157
"Sewa Pagar Pengaman Proyek Seng gelombang, t=2m rangka kayu usuk 5/7 cm",I.,PEKERJAAN PERSIAPAN,m1,46,175000.000000,8050000.000000,0.1686
Pengukuran kembali lokasi pekerjaan,I.,PEKERJAAN PERSIAPAN,ls,1,1500000.000000,1500000.000000,0.0314
Pekerjaan Bowplank,II.,PEKERJAAN TANAH DAN PONDASI,ls,1,3000000.000000,3000000.000000,0.0628
Pengeboran Strousse menggunakan alat (Pondasi Strousse  (dia30 - 500 cm )),II.,PEKERJAAN TANAH DAN PONDASI,ttk,108,125000.000000,13500000.000000,0.2827
Pembesian (besi polos) (Pondasi Strousse  (dia30 - 500 cm )),II.,PEKERJAAN TANAH DAN PONDASI,kg,5500.872,11196.075000,61588175.477400,1.2896
Cor Beton K.250 (Pondasi Strousse  (dia30 - 500 cm )),II.,PEKERJAAN TANAH DAN PONDASI,m3,38.151,973704.997222,37147819.349025,0.7779
Galian Tanah Piel Cap (Pondasi Foot Plat P1 (60x140x140cm)),II.,PEKERJAAN TANAH DAN PONDASI,m3,56.448,73150.000000,4129171.200000,0.0865
