uraian pekerjaan,section,pekerjaan,satuan, volume , harga satuan , nilai , bobot ,, jumlah nilai , total bobot 
Pembersihan Lokasi,A,PEKERJAAN PERSIAPAN,m², 514.58 , 16387.50 , 8432667.13 , 0.3200 ,, 2634947254.48 ,"100,000"
Pasang Papan Nama,A,PEKERJAAN PERSIAPAN,ls, 1.00 , 100000.00 , 100000.00 , 0.0038 ,,,
Pek. Timbunan + Perataan,A,PEKERJAAN PERSIAPAN,m³, 428.82 , 180440.61 , 77375825.99 ,"29,365",,,
Penyediaan SMK3 :,A,PEKERJAAN PERSIAPAN,ls,1.00, 7096149.60 , 7096149.60 , 0.2693 ,,,
Pengukuran dan Pasang Bowplank,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN 1 UNIT RUMAH,m', 380.00 , 123939.87 , 47097150.60 ,"17,874",,,
Galian Tanah Pondasi ,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³, 369.52 , 76618.75 , 28312160.50 ,"10,745",,,
Galian Tanah Strous Pile,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m', 226.08 , 100000.00 , 22608000.00 , 0.8580 ,,,
Urugan Tanah Kembali,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³, 110.86 , 55487.50 , 6151122.30 , 0.2334 ,,,
Urugan Sirtu Peninggian Lantai,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³, 122.37 , 180239.50 , 22055429.62 , 0.8370 ,,,
Urugan Pasir Bawah Pondasi,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³, 23.90 , 210875.50 , 5038870.07 , 0.1912 ,,,
Urugan Pasir Bawah Lantai,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³, 69.90 , 210875.50 , 14740197.45 , 0.5594 ,,,
Lantai Kerja Poer Tebal 10 cm,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m³, 2.56 , 153417.13 , 392747.85 , 0.0149 ,,,
Beton Poer 160/100 Tebal 30 cm (150kg Pembesian+Bekisting),B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m³, 7.68 , 1935445.98 , 14864225.09 , 0.5641 ,,,
Beton Pedestal 20/20 K-225   f'c = 193 M Pa,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m3, 0.96 , 1173905.62 , 1126949.39 , 0.0428 ,,,
